variant,model,dataset,shot,N,ACC,P_macro,R_macro,F1_macro,EACC,NACC,CACC,unparseable_rate,parseable_ACC
audio_only,qwen2audio,medical,1,193,0.5647668393782384,0.5924657736251939,0.5689497716894977,0.5645868363668086,0.5068493150684932,0.7333333333333333,0.4666666666666667,0.010362694300518135,0.5706806282722513
audio_only,qwen2audio,medical,3,193,0.41968911917098445,0.5020833333333333,0.3856925418569254,0.3276466380543634,0.8904109589041096,0.11666666666666667,0.15,0.0051813471502590676,0.421875
audio_only,qwen2audio,medical,5,193,0.45595854922279794,0.5666547958214625,0.4206240487062405,0.3645742891183073,0.9452054794520548,0.1,0.21666666666666667,0.010362694300518135,0.4607329842931937
audio_only,qwen2audio,medical,7,193,0.46113989637305697,0.515928515928516,0.42716894977168945,0.3737055555636612,0.9315068493150684,0.08333333333333333,0.26666666666666666,0.010362694300518135,0.46596858638743455
audio_only,qwen2audio,medical,10,193,0.5233160621761658,0.5830135039090263,0.49779299847792996,0.47892618018476146,0.8767123287671232,0.16666666666666666,0.45,0.02072538860103627,0.5343915343915344
audio_plus_transcript,af2,afri200,1,300,0.31666666666666665,0.7854251012145749,0.31666666666666665,0.2134047127729466,0.06,0.88,0.01,0.15333333333333332,0.37401574803149606
audio_plus_transcript,af2,afri200,3,300,0.3233333333333333,0.12201257861635219,0.3233333333333333,0.1771689497716895,0.0,0.97,0.0,0.11666666666666667,0.3660377358490566
audio_plus_transcript,af2,afri200,5,300,0.33,0.12313432835820896,0.33,0.1793478260869565,0.0,0.99,0.0,0.10666666666666667,0.3694029850746269
audio_plus_transcript,af2,afri200,7,300,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,1.0,0.0,0.0,0.0,0.3333333333333333
audio_plus_transcript,af2,afri200,10,300,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,1.0,0.0,0.0,0.0,0.3333333333333333
audio_plus_transcript,af2,medical,1,193,0.12953367875647667,0.6847545219638244,0.1339421613394216,0.139881045443218,0.0684931506849315,0.31666666666666665,0.016666666666666666,0.5181347150259067,0.26881720430107525
audio_plus_transcript,af2,medical,3,193,0.2849740932642487,0.10128913443830571,0.3055555555555555,0.15214384508990317,0.0,0.9166666666666666,0.0,0.06217616580310881,0.30386740331491713
audio_plus_transcript,af2,medical,5,193,0.37823834196891193,0.12607944732297063,0.3333333333333333,0.1829573934837093,1.0,0.0,0.0,0.0,0.37823834196891193
audio_plus_transcript,af2,medical,7,193,0.37823834196891193,0.12607944732297063,0.3333333333333333,0.1829573934837093,1.0,0.0,0.0,0.0,0.37823834196891193
audio_plus_transcript,af2,medical,10,193,0.37823834196891193,0.12607944732297063,0.3333333333333333,0.1829573934837093,1.0,0.0,0.0,0.0,0.37823834196891193
audio_plus_transcript,af3,afri200,1,300,0.58,0.5756372545254863,0.5800000000000001,0.5544367109808374,0.33,0.49,0.92,0.0,0.58
audio_plus_transcript,af3,afri200,3,300,0.6566666666666666,0.6612821271206365,0.6566666666666667,0.6288750807158342,0.86,0.26,0.85,0.0,0.6566666666666666
audio_plus_transcript,af3,afri200,5,300,0.6766666666666666,0.6835030103995622,0.6766666666666666,0.6542514241468945,0.83,0.32,0.88,0.0,0.6766666666666666
audio_plus_transcript,af3,afri200,7,300,0.66,0.6572648763580229,0.66,0.6410571886280119,0.8,0.33,0.85,0.0,0.66
audio_plus_transcript,af3,afri200,10,300,0.6666666666666666,0.6691330891330892,0.6666666666666666,0.6437405635300372,0.86,0.3,0.84,0.0,0.6666666666666666
audio_plus_transcript,af3,medical,1,193,0.5233160621761658,0.5759972848788638,0.5462709284627093,0.5009279762095782,0.2054794520547945,0.7166666666666667,0.7166666666666667,0.0,0.5233160621761658
audio_plus_transcript,af3,medical,3,193,0.5699481865284974,0.6022727272727273,0.5606544901065449,0.5740563784042045,0.6986301369863014,0.4166666666666667,0.5666666666666667,0.031088082901554404,0.5882352941176471
audio_plus_transcript,af3,medical,5,193,0.6010362694300518,0.6042073302971156,0.5939878234398782,0.595980825958702,0.6986301369863014,0.4,0.6833333333333333,0.0,0.6010362694300518
audio_plus_transcript,af3,medical,7,193,0.5906735751295337,0.6068405139833711,0.5769406392694064,0.5805996472663139,0.7808219178082192,0.3333333333333333,0.6166666666666667,0.010362694300518135,0.5968586387434555
audio_plus_transcript,af3,medical,10,193,0.6010362694300518,0.6041824137062233,0.5900304414003045,0.5918677013729047,0.7534246575342466,0.38333333333333336,0.6333333333333333,0.0,0.6010362694300518
audio_plus_transcript,kimi,afri200,1,300,0.5866666666666667,0.4875906432748538,0.5866666666666667,0.48117313737239936,0.87,0.01,0.88,0.0,0.5866666666666667
audio_plus_transcript,kimi,afri200,3,300,0.6033333333333334,0.6222187730968219,0.6033333333333334,0.5203922103922105,0.85,0.07,0.89,0.0,0.6033333333333334
audio_plus_transcript,kimi,afri200,5,300,0.6266666666666667,0.6276751124079368,0.6266666666666666,0.5604537202777672,0.82,0.13,0.93,0.0,0.6266666666666667
audio_plus_transcript,kimi,afri200,7,300,0.6366666666666667,0.6437809494836824,0.6366666666666667,0.5605996874246668,0.89,0.1,0.92,0.0,0.6366666666666667
audio_plus_transcript,kimi,afri200,10,300,0.63,0.6641914662706346,0.63,0.5530195267037373,0.9,0.1,0.89,0.0,0.63
audio_plus_transcript,kimi,medical,1,193,0.6373056994818653,0.644336893635959,0.621993911719939,0.5788873894137052,0.8493150684931506,0.16666666666666666,0.85,0.0,0.6373056994818653
audio_plus_transcript,kimi,medical,3,193,0.6269430051813472,0.677938808373591,0.6009893455098934,0.5525268901511567,0.9863013698630136,0.08333333333333333,0.7333333333333333,0.0,0.6269430051813472
audio_plus_transcript,kimi,medical,5,193,0.6632124352331606,0.6887205387205387,0.6418569254185692,0.5949728513744245,0.958904109589041,0.11666666666666667,0.85,0.0,0.6632124352331606
audio_plus_transcript,kimi,medical,7,193,0.6424870466321243,0.7185602599248654,0.6176560121765601,0.5737800824358463,0.9863013698630136,0.11666666666666667,0.75,0.0,0.6424870466321243
audio_plus_transcript,kimi,medical,10,193,0.6373056994818653,0.6749145591250855,0.613089802130898,0.544600664566895,0.9726027397260274,0.05,0.8166666666666667,0.0,0.6373056994818653
audio_plus_transcript,qwen2audio,afri200,1,300,0.6266666666666667,0.6332247281183929,0.6266666666666667,0.6201593909298018,0.43,0.65,0.8,0.01,0.632996632996633
audio_plus_transcript,qwen2audio,afri200,3,300,0.5,0.5069295478669532,0.5,0.46959718184987187,0.65,0.11,0.74,0.03666666666666667,0.5190311418685121
audio_plus_transcript,qwen2audio,afri200,5,300,0.5533333333333333,0.5679279975640035,0.5533333333333333,0.5252818035426731,0.7,0.18,0.78,0.02,0.564625850340136
audio_plus_transcript,qwen2audio,afri200,7,300,0.5733333333333334,0.5849984496854236,0.5733333333333334,0.5582149177662696,0.69,0.23,0.8,0.03333333333333333,0.593103448275862
audio_plus_transcript,qwen2audio,afri200,10,300,0.6,0.6038305677633741,0.6,0.5954093669025796,0.63,0.34,0.83,0.02,0.6122448979591837
audio_plus_transcript,qwen2audio,medical,1,193,0.5233160621761658,0.5572011310434339,0.5373668188736681,0.5134154400167621,0.3287671232876712,0.8166666666666667,0.4666666666666667,0.010362694300518135,0.5287958115183246
audio_plus_transcript,qwen2audio,medical,3,193,0.43005181347150256,0.5411042944785276,0.39284627092846275,0.32443906376109766,0.9452054794520548,0.1,0.13333333333333333,0.025906735751295335,0.44148936170212766
audio_plus_transcript,qwen2audio,medical,5,193,0.47150259067357514,0.4989870656069814,0.4442161339421613,0.41540799937419587,0.8493150684931506,0.16666666666666666,0.31666666666666665,0.0051813471502590676,0.4739583333333333
audio_plus_transcript,qwen2audio,medical,7,193,0.5025906735751295,0.5551729415365779,0.4824961948249619,0.48090044324916575,0.7808219178082192,0.26666666666666666,0.4,0.02072538860103627,0.5132275132275133
audio_plus_transcript,qwen2audio,medical,10,193,0.5440414507772021,0.6091630591630591,0.5279299847792999,0.5347048896389395,0.7671232876712328,0.43333333333333335,0.38333333333333336,0.025906735751295335,0.5585106382978723
